2014-01-07 21:03:42 install libslang2:armhf <none> 2.2.4-15
2014-01-07 21:03:42 status half-installed libslang2:armhf 2.2.4-15
2014-01-07 21:03:43 status unpacked libslang2:armhf 2.2.4-15
2014-01-07 21:03:43 status unpacked libslang2:armhf 2.2.4-15
2014-01-07 21:03:43 install libss2:armhf <none> 1.42.5-1.1
2014-01-07 21:03:43 status half-installed libss2:armhf 1.42.5-1.1
2014-01-07 21:03:43 status unpacked libss2:armhf 1.42.5-1.1
2014-01-07 21:03:43 status unpacked libss2:armhf 1.42.5-1.1
2014-01-07 21:03:43 install libtext-charwidth-perl:armhf <none> 0.04-7
2014-01-07 21:03:43 status half-installed libtext-charwidth-perl:armhf 0.04-7
2014-01-07 21:03:44 status unpacked libtext-charwidth-perl:armhf 0.04-7
2014-01-07 21:03:44 status unpacked libtext-charwidth-perl:armhf 0.04-7
2014-01-07 21:03:44 install libtext-iconv-perl:armhf <none> 1.7-5
2014-01-07 21:03:44 status half-installed libtext-iconv-perl:armhf 1.7-5
2014-01-07 21:03:44 status unpacked libtext-iconv-perl:armhf 1.7-5
2014-01-07 21:03:44 status unpacked libtext-iconv-perl:armhf 1.7-5
2014-01-07 21:03:44 install libtext-wrapi18n-perl:all <none> 0.06-7
2014-01-07 21:03:44 status half-installed libtext-wrapi18n-perl:all 0.06-7
2014-01-07 21:03:44 status unpacked libtext-wrapi18n-perl:all 0.06-7
2014-01-07 21:03:44 status unpacked libtext-wrapi18n-perl:all 0.06-7
2014-01-07 21:03:45 install libtinfo5:armhf <none> 5.9-10
2014-01-07 21:03:45 status half-installed libtinfo5:armhf 5.9-10
2014-01-07 21:03:45 status unpacked libtinfo5:armhf 5.9-10
2014-01-07 21:03:45 status unpacked libtinfo5:armhf 5.9-10
2014-01-07 21:03:45 install libudev0:armhf <none> 175-7.2
2014-01-07 21:03:45 status half-installed libudev0:armhf 175-7.2
2014-01-07 21:03:45 status unpacked libudev0:armhf 175-7.2
2014-01-07 21:03:45 status unpacked libudev0:armhf 175-7.2
2014-01-07 21:03:45 install libustr-1.0-1:armhf <none> 1.0.4-3
2014-01-07 21:03:45 status half-installed libustr-1.0-1:armhf 1.0.4-3
2014-01-07 21:03:46 status unpacked libustr-1.0-1:armhf 1.0.4-3
2014-01-07 21:03:46 status unpacked libustr-1.0-1:armhf 1.0.4-3
2014-01-07 21:03:46 install libuuid1:armhf <none> 2.20.1-5.3
2014-01-07 21:03:46 status half-installed libuuid1:armhf 2.20.1-5.3
2014-01-07 21:03:46 status unpacked libuuid1:armhf 2.20.1-5.3
2014-01-07 21:03:46 status unpacked libuuid1:armhf 2.20.1-5.3
2014-01-07 21:03:46 install login:armhf <none> 1:4.1.5.1-1
2014-01-07 21:03:46 status half-installed login:armhf 1:4.1.5.1-1
2014-01-07 21:03:48 status unpacked login:armhf 1:4.1.5.1-1
2014-01-07 21:03:48 status unpacked login:armhf 1:4.1.5.1-1
